text;department;process;document;edition
Business Center Services;1;1;1;1
Rental / Properties Units Management Module;1;1;0;0
Lease Contract Management;1;1;1;1
Customer Relationship Management;1;1;1;1
CRM-Pre Sale Activities;Sale;sale;0;0
CRM-Customer Care Services;1;1;1;1
Sale;sale;sale;0;0
Commission & Incentives Module;1;1;1;1
Finance;1;1;1;1
PDCs Management;1;1;1;1
Payroll;1;1;0;0
HR Module;1;1;0;0
Immigration;1;1;1;1
Company Name:  Premiers Management Consultancy & Training;1;1;1;1
Company Locations: ;1;1;1;1
Head Office Dubai;0;0;0;0
Branch Office:  Abu Dhabi;0;0;0;0
Flexible to create new branch);1;1;1;create
Flexible Printing Option:  (Logo & Name);1;1;1;0
Premiers Management Consultancy & Training;1;1;1;0
Global Migration Services;1;1;1;0
Create New Layout;1;1;1;0
Company Division / Program:  (Program Based);1;1;1;0
Skilled Immigration;1;1;1;0
Business Migration;1;1;1;0
Student Visa;1;1;1;0
Visit Visa;1;1;1;0
IELTs Training;0;0;0;0
Departments: ;1;0;0;0
Sale;Sale;Sale;0;0
Processing;1;1;0;0
Initial Processing Unit;0;1;0;0
Post Processing Unit;0;1;0;0
Dispatch Unit;0;0;0;0
Refund Unit;0;0;0;0
Administration;1;1;1;1
Admin Unit;0;0;0;0
HR Unit;1;1;0;0
Legal Unit;0;0;0;0
Finance;1;1;0;0
Users:  Limited Access Apps Wise;1;1;1;1
Super Administrator;0;0;0;0
Manager;0;0;0;0
Sale Person;Sale;Sale;0;0
Accounts;Accounts;Accounts;0;0
Customer Care Officers;1;1;0;0
Business Centers;1;1;1;1
Company Name:  (Both companies same business nature, so one data base will be developed and the same we will used for other);1;1;1;1
Star Business Center Department;1;1;0;0
Sale;Sale;Sale;0;0
Administration;1;1;0;0
Finance;1;1;0;0
Star Executive Business Center Department: ;1;1;0;0
Sale;Sale;Sale;0;0
Administration;1;0;0;0
Finance;1;1;0;0
Users:  Limited Access Apps Wise;1;1;0;0
Super Administrator;1;1;0;0
Manager;0;0;0;0
Sale Person;Sale;Sale;0;0
Accounts;Accounts;Accounts;0;0
Customer Care Officers;1;1;0;0
Pre Sale Activities to till Sign Up;Sale;Sale;0;0
Contacts & Email Data Management;1;1;0;0
Upload of Emails & Contacts Data;1;1;0;0
Contacts with / without name / email;1;1;0;0
Emails with / without name / contact;1;1;0;0
Data packet ref # & detail we are uploading for tracking of leads and sales;Sale;Sale;Lead;0
Upload-For a specific program / division (for which we are running email / sms / whatsapp campaign) (General Public Contacts);1;1;0;0
General contacts upload;1;1;0;0
Allocation of general uploaded contacts to specific program marketing;1;1;0;0
To analyze who approached to our company for services and who is not.;1;1;0;0
Allocation, transfer of contacts data from one sale person to other;Sale;Sale;0;0
Registered clients data & unregistered clients data;0;0;0;1
Unregistered contact and Unregistered Clients Leads & Appointments;1;1;0;0
Merging of same contacts / emails data when uploading new contacts data batch;1;1;0;0
Mass Email Marketing (Gateway will be provided);1;1;0;0
Email campaign for new data;1;1;0;0
Email campaign for specific pipeline stage data;1;1;0;0
Email campaign for not qualified leads for selected sale persons, nationality, date range etc.;Sale;Sale;0;0
SMS campaign (Gateway will be provided) [Note:  Any special requirements) ;1;1;0;0
SMS campaign for specific program (Fore registered & unregistered clients data) ;1;1;0;0
SMS campaign for specific status of sale inquiry stage o SMS campaign for leads;Sale;Sale;0;0
Contacts, leads data allocation from one sale person / coordinators account to others or mutual follow up calls with scoreboard;Sale;Sale;0;0
Contacts and email data score board;1;1;0;0
Sale Inquiry Status;Sale;Sale;0;0
Source of sale Inquiry-Leads source maintenance and analysis;Sale;Sale;0;0
Call in (Mobile / Landline);1;1;0;0
Auto source find:  SMS / Email / Watts app / fax / News Paper / Flyer campaign (Flexible to add new source name);1;1;0;0
Manual -Source selection / Email / Watts app / fax / News Paper / Flyer campaign / Web Site Visit;1;1;0;0
Call (out);0;0;0;0
Uploaded data packet;1;1;0;0
Data Name / Ref #;0;0;0;0
Email / website form;1;1;0;0
Word of mouth;0;0;0;0
Walk in;0;0;0;0
Staff referral;1;1;0;0
Client referral;1;1;0;0
Ads on Google, yahoo, msn etc (link to system);1;1;0;1
Ads on Face book (link to system);0;0;0;0
Website visit-Assessment / Contact form link with system;1;1;0;0
When a person is approaching to us, status of sale inquiry (Program / Division Wise, Nationality wise) set a time for contact / lead to be remain within the stage (Criteria sale person wise);Sale;Sale;0;0
Not Qualified-NQ (automatically remove after a definite time from the pipeline, but should still in the register for future campaign and score board analysis);1;1;0;0
Qualified but Not Interested-QNI;0;0;0;0
Qualified & Interested-QI;0;0;0;0
Sale Appointments;Sale;Sale;0;0
Sale Appointments matured (Sign up);Sale;Sale;0;0
When we are approaching to a person for a sale inquiry (Program / Division Wise);Sale;Sale;0;0
Not Answering / Not Available-NA;0;0;0;0
Not Qualified-NQ;0;0;0;0
Qualified but Not interested-QNI;0;0;0;0
Qualified & Interested-QI;0;0;0;0
Sale Appointments;Sale;Sale;0;0
Sale Appointments matured (Sign up);Sale;Sale;0;0
Sale person wise criteria (Nationality, gender, age group) of auto transfer of lead to another sale person if meeting the criteria (Team up sale) o Leads Grouping;Sale;Sale;0;0
Branch wise (Dubai, Abu Dhabi, JLT);0;0;0;0
Lead stage wise;0;0;Lead;0
Division Wise (One Client can relate to two divisions);1;1;0;0
Country wise;0;0;0;0
Source wise;0;0;0;0
Access source;0;0;0;0
Nationality Wise;0;0;0;0
Age Wise;0;0;0;0
Sale person wise;Sale;Sale;0;0
Packet data wise;1;1;0;0
Program Related Dynamic & Flexible Inquiry Form (Form required fields will be provided);1;1;0;0
Client basic info fields, contact info;1;1;0;0
Program info (SM, BM,SV,VV, IELTS, Sponsorship, Other) fields;1;1;0;0
Client Personal details fields / Detailed Profile (Education, Profession, other);1;1;0;0
Family profile fields;0;0;0;0
Program details;0;0;0;0
Source of sale;Sale;Sale;0;0
Sale mode-in office / online / on phone / abu dhabi office / other office o Easy to edit the form fields, add new fields delete the fields;Sale;Sale;Lead;add
Sign Ups / Sale (Program / Division, Country, Nationality, Payment Option, Age, month, sale person, sale coordinators, Leads source, Access way wise);Sale;Sale;Lead;0
Full signup sale, Sale Person wise;Sale;Sale;0;0
Team up sale (2 / 3 sale persons, sale & sale coordinators) o Staff referral sales;Sale;Sale;0;0
Single Client Sign Up-Only Primary applicant;1;1;0;0
Combo Client Sign Up (Treated as two different accounts but combination visible to user);1;1;0;0
Primary Applicant;0;0;0;0
Secondary Applicant (Spouse);0;0;0;0
Pre Sale Activities, Pipeline & Activities With Log (calls, emails, sms, meeting, other activities) Sale Inquiry form Stage Status Pipeline According to Program (dynamic & Flexible to change by administrator);Sale;Sale;0;0
Skilled Immigration:  Contact > Not Qualified > Qualified > Q-Negotiation > Sign Up;1;1;0;0
Business Migration:  Contact > Not Qualified > Qualified Not Interested > Qualified Interested > Sign Up;1;1;0;0
IELTS:  P-Contacts > Negotiation > Sign Up;1;1;0;0
Student Visa:  Contact > Not Qualified > Qualified > Sign Up;1;1;0;0
Visit Visa:  Contact > Not Qualified > Qualified > Sign Up;1;1;0;0
Sponsorship:  Contact > Not Qualified > Qualified > Sign Up (Note:  Configuration of criteria for follow up activities (call, email and meeting) within Specified time / days. Rotten criteria for an inquiry within the stage for a specified time) Reminder Pop-up for all activities real time / 20 minutes before the time.;1;1;0;0
Contact call summary extension wise / user wise;1;1;0;0
Sale Person & Coordinator wise Daily Turnover Report from Contact > NQ > Q > Appointment > Sign Up ;Sale;Sale;0;0
Non-qualified contacts / leads analysis with different criteria;1;1;0;0
Sale person wise;Sale;Sale;0;0
Nationality wise;0;0;0;0
Client Appointments with sale persons;Sale;Sale;0;0
Daily, weekly, monthly report;1;1;0;0
Allocation of Non Contacts data of one Sale Person / Coordinator to other Sale Person / Coordinator;Sale;Sale;0;0
Pricing Structure (Payment options in contracts) (Payment options are attached);1;1;0;0
Different payment option for different program;Sale;Sale;1;0
6 to 8 Payment options for each program;1;1;0;0
Payment option with discount;1;1;0;0
Specific name of each Payment option;1;1;0;0
Addition, Deletion & Edition option;0;0;0;1
Discount option (Promotional Discount, Special Discount, PDCs Discount subject to submission of PDCs within 21 days) o Pricing for other Misc. / Additional Services with discount option;sale;1;0;0
Up-gradation of contract;;;;
Addition of dependent;1;1;0;1
Document notarization;1;0;1;0
Agreements / Contracts Preparation (Out Put of all documents:  Screen, Print Preview, Printer, PDF, Excel,);1;0;1;0
Program wise unique no to contract;0;0;0;0
Fields for the contract & not for contracts;1;1;0;0
Contracts management;1;1;0;0
Different agreements as per program;1;1;0;0
Different payment options for different programs;1;1;0;0
Option with discounts i.e. if PDCs submitted within 21 days);1;1;0;0
Signature, stamp, header and footer function;1;1;0;0
Contract signature functionality through touch screen, or sign pad(Client & Staff);1;1;0;0
Contract email to client;1;1;0;0
Addition of new contracts for new program;1;1;0;1
Contract terms edit option for future new contracts / agreement;1;1;0;1
Contracts renewal auto emails to clients;1;1;0;0
Contract Annexure / addendum (considered as part of contract);1;1;0;0
Combo sign up;0;0;0;0
Up-gradation of contract;0;0;0;0
Addition of dependent;0;0;0;1
Change in Program, Country, Payment Option;1;1;0;0
IELTS sign Up;0;0;0;0
Registered Customers Grouping;0;0;0;0
Branch wise (Dubai, Abu Dhabi, JLT);0;0;0;0
Company wise (Premiers, GMS);0;0;0;0
Division Wise (One Client can relate to two divisions);0;0;0;0
Country wise;0;0;0;0
Nationality Wise;0;0;0;0
Age Wise;0;0;0;0
Payment Option wise, sign up month wise, sale person wise, lead source wise, sale source wise;Sale;Sale;Lead;0
MIS Reports, Sales Department (Program wise- SM, BM, SV, VV, IELTS, Sale Person wise, country y wise, nationality wise, age wise) (Saved (One Click):  Last day, This day, Daily, This Week, Last Week, Weekly, This Month, Last Month, Monthly Unsaved:  Date range);Sale;Sale;0;0
Sale Score Board report (Sale person wise, program wise, source wise, country y wise, nationality wise, age wise);Sale;Sale;0;0
Total Calls;0;0;0;0
Talk time;0;0;0;0
Leads Not qualified;0;0;Lead;0
Leads qualified;0;0;Lead;0
Appointments for sale / sign up (Appointments frequency with the same client);Sale;Sale;0;0
Sign up;0;0;0;0
Source wise Sale Score Board report (Sale person wise, program wise, country);Sale;Sale;0;0
Total Calls;0;0;0;0
Talk time;0;0;0;0
Leads Not Qualified;0;0;Lead;0
Leads qualified;0;0;Lead;0
Appointments for Sale / Sign Up (Appointments frequency with the same client);Sale;Sale;0;0
Sign up;0;0;0;0
Strike rate score board report (Sale person wise, program wise, country wise, Nationality wise);Sale;Sale;0;0
Total leads to appointments (If appointment is more than one with the same lead, adjust the same);0;0;Lead;0
Appointments to sign ups / sale;Sale;Sale;0;0
Total sign ups to source wise sign ups;0;0;0;0
New strike report;0;0;0;0
Strike report Contacts > Q-Leads > N-Q Leads > Appointment > Sign up / Sale (sale person wise & Program wise);Sale;Sale;0;0
Strike Report No of Appointment > no Sign up / sale (sale person wise & Program wise) ;Sale;Sale;0;0
Periodic (Daily, weekly, monthly etc) analytical report (No of sale inquiries, no of appointments and no of sales this day vs. last day, this week vs. last week, this moth week vs. last month same week, this month vs. last month) ;Sale;Sale;0;0
Sale person & Sale Coordinators wise report, No of calls, talk time, no of new inquiries stage wise, no of inquires change in stage ;Sale;Sale;0;0
Payment option wise no of sign ups / sale report, ;Sale;Sale;0;0
Sales revenue report (Pre sale revenue & Post sale collection) ;Sale;Sale;0;0
Any other report;Sale;Sale;0;0
Analytical analysis of MIS reports[No of Leads, appointments & Sign Ups / sale Analysis) of Sales Department-Program Wise, Sale Team wise, Sale Person wise, Nationality vs. Appointments vs. Sign Ups sale person wise, age wise,);Sale;Sale;0;0
This day vs. last day;0;0;0;0
This month day vs. last month same date;0;0;0;0
This week vs. Last Week;0;0;0;0
Week of this month vs. Week of Last month;0;0;0;0
This month vs. last month;0;0;0;0
This month vs. last year same month;0;0;0;0
Staff person A vs. Staff Person B;0;0;0;0
Real Time Dash Boards;0;0;0;0
Individual Sale Person, Supervisor, Manager, General Manager, CEO;Sale;Sale;0;0
(Today Vs Last Day) (Week Vs Last Week) (Saturday Vs Last Saturday) (Month Vs Last Month) ;0;0;0;0
No. of sale inquiries, qualified inquiries, Appointments, no of sales (Total Sales, individual sales, team up sales) (Sale Person wise, Program wise) (Country wise);Sale;Sale;0;0
Agreements / Contracts Preparation (Program + Country Wise) (Only sale person can prepare);Sale;Sale;0;0
Contracts management;1;1;0;0
Different agreements as per program;0;0;0;0
Different payment options for different programs;1;Payement;0;0
Option with discounts i.e. if PDCs submitted within 21 days);1;1;0;0
Contract / agreement signature functionality;1;1;0;0
Saved Contracts email to client;0;0;1;0
Addition of new contracts for new program;1;1;0;1
Contract terms edit option for future new contracts / agreement;1;1;0;1
New payment option creation for the time being provisional approval;1;payement;0;0
Payment option approval from Manager;1;payement;0;0
No amendment in contract once saved (Restricted);1;1;0;0
Saved Contract visibility to staff (read only);1;1;0;0
Revenue recognition is based on collection method;0;0;0;0
Pre Sale Collection Receipts:  Cash Invoice, Credit Card invoice, PDC receipt (Dual Purpose:  Invoice + Receipt > Service Delivery Note);Sale;Sale;0;0
Post Sale Collection Receipt:  Cash Invoice, Credit Card invoice, PDC receipt (Dual Purpose:  Invoice + Receipt > Service Delivery Note);Sale;Sale;0;0
Discounts for post sale collection of PDCs option (Within 21 days > $ 500) Editable;Sale;Sale;0;0
Credit Invoicing;1;1;0;0
Note 1:  Out Put of all documents (Screen, Print Preview, Printer, PDF, Excel,) ;1;1;1;0
Note 2:  Printing Option should be dual (i) Premiers company name and Logo (ii) GMS company name and logo;1;1;0;0
Financial & MIS Reports Daily, Weekly, Monthly (Out Put:  Screen, Print Preview, Print Option, PDF);acounting;1;0;0
Programs wise No of Sales and amounts;Sale;Sale;0;0
Sale Persons vs. Program Wise new sign up;Sale;Sale;0;0
Source Wise new sales / sign ups;Sale;Sale;0;0
Sale Person Wise;Sale;Sale;0;0
Sales Coordinators wise;Sale;Sale;0;0
Staff Referral wise;0;0;0;0
Payment Option wise;Acounting;payement;0;0
Nationality wise;0;0;0;0
Age Group Wise;0;0;0;0
Any other report as per management request during development ;1;1;0;0
Signed Contractual value Forecast Revenue report;1;1;0;0
Realized Revenue (Contractual value amount received) report o Sign Up Pre Sale Collection report (daily, weekly, monthly);Sale;Sale;0;0
Post sale collection report follow-up collection person wise (daily, weekly, monthly);Sale;Sale;0;0
Analytical analysis of the reports (Graphs, Pie Chart);1;1;0;0
Sale refund process flow;Sale;Sale;0;0
Sale Refund Case-Normal & DED;Sale;Sale;0;0
Cancellation, authorization and approval process;0;0;1;1
Cancellation / refund settlement with client;0;0;0;0
PDC preparation & issuance to client;Acounting;1;0;0
Declaration letter preparation, signature (Normal & DED), and its register Declaration option should be active after final settlement approval and at the time of issuance of refund cheque to client.;1;1;0;0
Sales Refund Reports (Saved (Daily, Weekly, Monthly) & Periodic Reports) ;Sale;Sale;0;0
No of Sales Refund and amounts;Sale;Sale;0;0
Program Wise;0;0;0;0
Sale Person wise;Sale;Sale;0;0
Program stage wise;0;0;0;0
Refund decision wise;0;0;0;0
Sale retained report;Sale;Sale;0;0
Loss of sale report;Sale;Sale;0;0
Source wise;0;0;0;0
Nationality wise;0;0;0;0
Reason wise (List of reason will be provided);0;0;0;0
No of sale refund applications received (Normal / DED);Sale;Sale;0;0
No Sales Refund Cases in Pipe under process ;Sale;Sale;0;0
No Sale refund decision issued ;Sale;Sale;0;0
No of Sale refund cheque prepared;Acounting;Sale;0;0
Note 1:  Out Put of all documents (Screen, Print Preview, Printer, PDF, Excel,);1;1;1;0
CRM Operational Divisions;1;1;0;0
Skilled Immigration;0;0;0;0
Business Migration;0;0;0;0
Student Visa;0;0;0;0
Visit Visa;0;0;0;0
Sponsorship;0;0;0;0
IELTS Training;0;0;0;0
Processing Function;0;0;0;0
Initial Unit;0;0;0;0
Follow up team;0;0;0;0
Collection;0;0;0;0
Review;0;0;0;0
Dispatch;0;0;0;0
Post Submission;0;0;0;0
Collection;0;0;0;0
Review;0;0;0;0
Dispatch;0;0;0;0
Note: ;0;0;0;0
An auto pop-up should be appear, if there is any due payment or bounce cheque (at any stage) as per payment plan;1;payement;0;0
Account freeze option;Acounting;Acounting;0;0
Common Services Process for all stages: ;0;0;0;0
Specific case file no as per program;0;0;0;0
Follow Up Unit- Follow up Activities;0;0;0;0
Log in A / c creation with an auto welcome email;0;0;0;Create
Email related program requirements;0;0;1;0
Follow up call consultancy for initial stage requirement as per check list for all programs after sign up constancy;1;1;0;0
Follow-up status report (Sale Person Wise, Payment option wise);Sale;payement;0;0
No of initial follow up with talk time-Follow up unit staff member wise;0;0;0;0
No of Client submitted PDCs / 2nd Payment after initial follow up- Follow up unit staff member wise;1;payement;0;0
No of Clients signup for the month not submitted PDCs after initial follow up- Follow up unit staff member wise;acounting;0;0;0
Documents / requirements Collection Process as per check list (Documents check lists will be provided program wise, country wise, stage wise). Flexible to create new stage / template of requirements / documents for collection, review & dispatch).;1;1;1;0
Documents / requirements Review process (If there is any discrepancy bounce back to document collection officer);1;1;1;0
Accounts Clearance Process (Process dept > Clearance Form > Accounts Approval > Process Dept);Acounting;1;0;0
Update of records regarding status of each activity and stage (in process, done, completed, waiting, ok, not ok, re-submission etc);1;1;1;1
Daily clients visit to Premiers-Foot fall record;1;1;0;0
Dispatch of documents with final review(As per Program & Stage);1;1;1;0
General Dispatch / Document Dispatch;1;1;1;0
Online or Courier;0;0;0;0
Initial stage dispatch, Post Stage Dispatch;0;0;0;0
Dispatch details fields;0;0;0;0
Approval & authorization process for dispatch;1;1;0;0
Flexibility to add new program, new stage, new check list, new requirement;1;1;0;0
Client Documents Management;1;1;1;0
Visa Grant / Passport with visa stamp issuance stage process (Successful clients Data bank with details);0;0;0;0
Program file closing option;0;0;0;0
Cancellation (refund process);0;0;0;0
Suspended till time;0;0;0;0
Reassessment / Apply again;0;0;0;0
Change in program / Country;0;0;0;0
MIS Reports-Processing Department-Score Board Report with break-up of the total Score;1;1;0;0
Follow Up Unit {(Saved Reports & Auto email > Daily, Weekly, Monthly) (Date range) } (Sign Up Month wise, Payment Option wise);1;payement;0;0
No of initial follow up with talk time-Follow up unit staff member wise;0;0;0;0
No of Client submitted PDCs / 2nd Payment after initial follow up- Follow up unit staff member wise;1;payement;0;0
No of Clients signup for the month not submitted PDCs after initial follow up-Follow up unit staff member wise;1;1;0;0
Talk time report (with registered client & unregistered clients);0;0;0;0
Initial Documents Unit-Initial Stage {(Saved Reports & Auto email > Daily, Weekly, Monthly) (Date range) } (Sign Up Month wise, Payment Option wise);1;1;1;0
Total no of incoming documents received (Further Break up-Complete, Incomplete, Additional) (Program Wise, Country Wise, Stage Wise);1;1;1;1
Total No of files reviews (Further break up ok, not ok,) (Program Wise, Country wise, Stage Wise) (department unit wise, staff wise);1;1;1;0
Total no of approved files / documents for dispatch files in hand (Program Wise, Country wise, Stage Wise);1;1;1;1
File Bounce Back option if there is any discrepancy;;;;
Total no of dispatched (Program Wise, Country wise, Stage Wise);;;;
Talk time report (with registered client & unregistered clients);;;;
Score Board report of Positive & Negative result applicants;;;;
Post Documents Submission Unit-Immigration Stage {(Saved Reports & Auto email > Daily, Weekly, Monthly) (Date range)} (Sign Up Month wise, Payment Option wise);;;;
Post Submission;0;0;0;0
Requirements;0;0;0;0
Medical;0;0;0;0
Visa;0;0;0;0
Total no of incoming documents received (Further Break up-Complete, Incomplete, Additional) (Program Wise, Country wise, Stage Wise);;;;
Total No of files reviews (Further break up ok, not ok,) (Program Wise, Country wise, Stage Wise) (department unit wise, staff wise);;;;
Total of approved for dispatch files in hand (Program Wise, Stage Wise);;;;
Total no of dispatched (Program Wise, Country wise, Stage Wise);;;;
Talk time report (with registered client & unregistered clients);;;;
Closed file score board report (Weekly, Monthly) (Date range)} (Sign Up Month wise);;;;
Successful applicants;;;;
Unsuccessful;;;;
Cancellation;;;;
Incomplete documents;;;;
Analytical analysis of MIS reports of Processing Department-Program Wise;;;;
This day vs. last day;;;;
This month day vs. last month same date;;;;
This week vs. Last Week;;;;
Week of this month vs. Week of Last month;;;;
This month vs. last month;;;;
This month vs. last year same month;;;;
Staff person A vs. Staff Person B;;;;
Standard Terms ;;;;
Program Wise Service Process Functions;;;;
Flexible to change in Program, stage, requirements lists;;;;
Addition of new program for new country / state, Special Program, stage, sub stage, requirements;;;;
Skilled Immigration Process;;;;
Initial-sign up Consultancy (Sale Person:  Inquiry to till sign up) & Log in A / c creation + Welcome email;Sale;Sale;;
Follow Up Process (Consultancy + Payment collection) Status: ;;;;
First Stage requirements email;;;;
Initial Call to client;;;;
MIS score board report with break-up of the total score board;;;;
Skilled Immigration (Canada, Australia, Add new Country, Federal, State, other);;;;
Skills Assessment (As per Country & Profession) ;;;;
Skills Points Calculation;;;;
Education Credential Assessment;;;;
Documents / Requirements Check List;;;;
Documents / Requirements Collection;;;;
Documents / Requirements Review;;;;
Accounts Clearances;;;;
Apply for Assessment (Dispatch of file:  Online or Courier);;;;
Result (Awaiting, Positive, Negative);;;;
Job Experience details;;;;
Age;0;0;0;1
IELTS;0;0;0;0
Spouse IELTS;0;0;0;0
Blood Relative in Immigrant country;0;0;1;0
Other;0;0;0;0
Apply for immigration;0;0;0;0
PR / immigration Stage;0;0;0;0
Documents / Requirements Check List;0;0;1;0
Documents / Requirements Collection;0;0;1;0
Documents / Requirements Review;0;0;1;0
Accounts Clearances;0;0;0;0
Apply for Invitation to PR / Immigration (Online / Dispatch courier);0;0;0;0
Add. Requirements / Documentation check list;0;0;1;0
Accounts Clearances;accounting;0;0;0
Online / Dispatch add requirements;;;;
Interview;0;0;0;0
Medical;0;0;0;0
VISA grant> Positive or Negative;1;1;1;0
A / c Final Settlement>Visa issuance;0;0;1;0
Business Migration Process;0;1;0;0
Initial-sign up Consultancy (Sale Person:  Inquiry to till sign up) & Log in A / c creation + Welcome email;Sale;Sale;0;0
Follow Up Process (Consultancy + Payment collection) Status: ;1;1;1;0
Program requirements email;0;0;1;0
Initial Call to client;0;0;0;0
Processing Flow Country wise (Process SOPs are attached) o Direct Passport Program;0;0;1;0
PR Program;0;0;0;0
Documents / requirements check lists country wise;0;0;1;0
MIS score board report with break-up of the total score board;0;0;0;0
Business Migration;0;0;0;0
Business Migration Phase;1;1;0;0
Investment Phase (As per Country);accounting;0;0;0
Business Plan Option;1;1;0;0
Requirements check list for investment plan;0;0;0;0
Requirement name;0;0;0;0
Detail;0;0;0;0
Status;0;0;0;0
Attachment;0;0;1;0
Documents/Requirements Collection (clients' needs to meet);0;0;1;0
Premiers Documents/Requirements Review;0;0;1;0
Accounts Clearances for every dispatch;accounting;sale;0;0
Dispatch (Online/Courier);0;0;1;0
Associate Lawyer Review;0;0;0;0
File submission to govt.;0;0;1;0
Investment (Transfer of funds);accounting;0;0;0
Investment/Naturalization certificates;0;0;0;0
Direct Passport;0;0;0;0
Optional:  Apply for passport/PR/Visa;1;1;0;0
Requirements of stage;0;0;0;0
Documents/Requirements Collection;0;0;1;0
Documents/Requirements Review;0;0;1;0
Accounts Clearances;accounting;1;0;0
Apply for PR/Immigration (Online/Dispatch);1;1;0;0
Add. Requirements;;;;
Accounts Clearances;;;;
Online/Dispatch add requirements;;;;
PR/VISA grant> Positive or Negative;;;;
Student Visa Process;;;;
Initial-sign up Consultancy (Sale Person:  Inquiry to till sign up) & Log in A / c creation + Welcome email;Sale;Sale;;
Follow Up Process (Consultancy + Payment collection) Status: ;;;;
First Stage requirements email;;;;
Initial Call to client;;;;
MIS score board report with break-up of the total score board;;;;
Student Visa (Different Countries);;;;
Initial Phase Requirements ;;;;
Student Visa Admission in Institute;;;;
Selection of Institute;;;;
Requirements of institute;;;;
